"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2017","1,753.62","1,752.90","1,757.43","1,751.00","0","0.04"
"Mar 16, 2017","1,752.90","1,756.18","1,759.23","1,750.51","0","-0.19"
"Mar 15, 2017","1,756.18","1,737.20","1,760.30","1,737.20","0","1.09"
"Mar 14, 2017","1,737.20","1,744.93","1,744.93","1,729.82","0","-0.44"
"Mar 13, 2017","1,744.91","1,740.29","1,745.44","1,739.17","0","0.27"
"Mar 10, 2017","1,740.29","1,731.16","1,743.26","1,730.57","0","0.53"
"Mar 09, 2017","1,731.16","1,733.11","1,738.53","1,723.07","0","-0.11"
"Mar 08, 2017","1,733.11","1,737.86","1,742.70","1,731.95","0","-0.27"
"Mar 07, 2017","1,737.86","1,745.66","1,745.66","1,736.60","0","-0.45"
"Mar 06, 2017","1,745.66","1,754.89","1,754.89","1,740.81","0","-0.53"
"Mar 03, 2017","1,754.89","1,754.40","1,756.42","1,748.83","0","0.03"
"Mar 02, 2017","1,754.40","1,769.37","1,769.37","1,753.55","0","-0.85"
"Mar 01, 2017","1,769.37","1,749.09","1,772.79","1,749.09","0","1.16"
"Feb 28, 2017","1,749.09","1,758.66","1,758.66","1,746.64","0","-0.54"
"Feb 27, 2017","1,758.66","1,754.11","1,759.92","1,750.63","0","0.26"
"Feb 24, 2017","1,754.11","1,749.48","1,754.11","1,739.23","0","0.26"
"Feb 23, 2017","1,749.48","1,754.06","1,760.02","1,744.53","0","-0.26"
"Feb 22, 2017","1,754.06","1,759.20","1,759.20","1,751.57","0","-0.29"
"Feb 21, 2017","1,759.20","1,747.89","1,760.19","1,747.89","0","0.65"
"Feb 17, 2017","1,747.89","1,743.91","1,747.89","1,736.68","0","0.23"
"Feb 16, 2017","1,743.91","1,748.78","1,752.62","1,739.49","0","-0.28"
"Feb 15, 2017","1,748.78","1,742.17","1,751.22","1,739.72","0","0.38"
"Feb 14, 2017","1,742.17","1,738.04","1,742.86","1,732.60","0","0.24"
"Feb 13, 2017","1,738.04","1,732.25","1,741.40","1,732.25","0","0.33"
"Feb 10, 2017","1,732.25","1,724.44","1,734.04","1,724.44","0","0.45"
"Feb 09, 2017","1,724.44","1,711.53","1,726.32","1,711.53","0","0.75"
"Feb 08, 2017","1,711.53","1,706.61","1,712.33","1,700.52","0","0.29"
"Feb 07, 2017","1,706.61","1,708.49","1,712.73","1,703.78","0","-0.11"
"Feb 06, 2017","1,708.49","1,713.93","1,713.93","1,705.95","0","-0.32"
"Feb 03, 2017","1,713.93","1,700.92","1,715.09","1,700.92","0","0.76"
"Feb 02, 2017","1,700.92","1,696.65","1,702.50","1,689.64","0","0.25"
"Feb 01, 2017","1,696.65","1,698.93","1,706.41","1,690.17","0","-0.13"
"Jan 31, 2017","1,698.93","1,695.29","1,699.16","1,686.01","0","0.21"
"Jan 30, 2017","1,695.29","1,705.17","1,705.17","1,681.90","0","-0.58"
"Jan 27, 2017","1,705.17","1,708.66","1,711.13","1,702.55","0","-0.20"
"Jan 26, 2017","1,708.66","1,714.34","1,716.42","1,707.56","0","-0.33"
"Jan 25, 2017","1,714.34","1,700.22","1,715.08","1,700.22","0","0.83"
"Jan 24, 2017","1,700.22","1,680.48","1,702.31","1,680.48","0","1.17"
"Jan 23, 2017","1,680.48","1,684.36","1,684.47","1,674.27","0","-0.23"
"Jan 20, 2017","1,684.36","1,677.35","1,688.49","1,677.35","0","0.42"
"Jan 19, 2017","1,677.35","1,687.24","1,689.42","1,673.43","0","-0.59"
"Jan 18, 2017","1,687.24","1,679.60","1,687.31","1,676.12","0","0.45"
"Jan 17, 2017","1,679.60","1,685.52","1,686.19","1,675.82","0","-0.35"
"Jan 13, 2017","1,685.52","1,680.69","1,688.23","1,680.69","0","0.29"
"Jan 12, 2017","1,680.69","1,683.20","1,683.20","1,666.16","0","-0.15"
"Jan 11, 2017","1,683.20","1,678.85","1,683.21","1,674.02","0","0.26"
"Jan 10, 2017","1,678.85","1,675.04","1,685.11","1,675.04","0","0.23"
"Jan 09, 2017","1,675.04","1,684.73","1,684.73","1,674.53","0","-0.58"
"Jan 06, 2017","1,684.73","1,680.33","1,688.92","1,677.37","0","0.26"
"Jan 05, 2017","1,680.33","1,686.03","1,686.03","1,672.12","0","-0.34"
"Jan 04, 2017","1,686.03","1,664.89","1,687.09","1,664.89","0","1.27"
"Jan 03, 2017","1,664.89","1,650.59","1,672.21","1,650.59","0","0.87"
"Dec 30, 2016","1,650.59","1,656.20","1,660.55","1,646.47","0","-0.34"
"Dec 29, 2016","1,656.20","1,654.95","1,660.26","1,651.91","0","0.08"
"Dec 28, 2016","1,654.95","1,673.64","1,675.73","1,654.65","0","-1.12"
"Dec 27, 2016","1,673.64","1,668.91","1,677.32","1,668.91","0","0.28"
"Dec 23, 2016","1,668.91","1,664.05","1,668.97","1,664.05","0","0.29"
"Dec 22, 2016","1,664.05","1,673.40","1,674.00","1,660.79","0","-0.56"
"Dec 21, 2016","1,673.40","1,676.46","1,678.36","1,673.40","0","-0.18"
"Dec 20, 2016","1,676.46","1,669.55","1,678.72","1,669.55","0","0.41"
"Dec 19, 2016","1,669.55","1,667.52","1,674.25","1,665.36","0","0.12"
"Dec 16, 2016","1,667.52","1,673.22","1,678.05","1,662.85","0","-0.34"
"Dec 15, 2016","1,673.22","1,667.67","1,681.88","1,664.55","0","0.33"
"Dec 14, 2016","1,667.67","1,686.64","1,687.86","1,665.45","0","-1.12"
"Dec 13, 2016","1,686.64","1,680.46","1,690.38","1,680.46","0","0.37"
"Dec 12, 2016","1,680.46","1,689.99","1,690.65","1,676.73","0","-0.56"
"Dec 09, 2016","1,689.99","1,689.33","1,693.71","1,685.05","0","0.04"
"Dec 08, 2016","1,689.33","1,679.47","1,694.13","1,679.29","0","0.59"
"Dec 07, 2016","1,679.47","1,657.22","1,680.59","1,656.83","0","1.34"
"Dec 06, 2016","1,657.22","1,647.52","1,657.48","1,645.58","0","0.59"
"Dec 05, 2016","1,647.52","1,631.51","1,649.86","1,631.51","0","0.98"
"Dec 02, 2016","1,631.51","1,629.30","1,636.71","1,628.13","0","0.14"
"Dec 01, 2016","1,629.30","1,642.55","1,647.26","1,626.46","0","-0.81"
"Nov 30, 2016","1,642.55","1,647.00","1,656.20","1,642.54","0","-0.27"
"Nov 29, 2016","1,647.00","1,646.78","1,652.15","1,643.11","0","0.01"
"Nov 28, 2016","1,646.78","1,659.76","1,659.76","1,645.72","0","-0.78"
"Nov 25, 2016","1,659.76","1,654.65","1,659.76","1,654.65","0","0.31"
"Nov 23, 2016","1,654.65","1,650.03","1,654.72","1,644.95","0","0.28"
"Nov 22, 2016","1,650.03","1,643.61","1,651.17","1,642.43","0","0.39"
"Nov 21, 2016","1,643.61","1,630.81","1,643.82","1,630.81","0","0.78"
"Nov 18, 2016","1,630.81","1,634.19","1,635.90","1,629.68","0","-0.21"
"Nov 17, 2016","1,634.19","1,622.83","1,634.93","1,622.83","0","0.70"
"Nov 16, 2016","1,622.83","1,627.67","1,627.67","1,618.94","0","-0.30"
"Nov 15, 2016","1,627.67","1,614.39","1,628.40","1,614.39","0","0.82"
"Nov 14, 2016","1,614.39","1,600.46","1,616.18","1,600.46","0","0.87"
"Nov 11, 2016","1,600.46","1,597.34","1,601.68","1,588.52","0","0.20"
"Nov 10, 2016","1,597.34","1,592.86","1,613.36","1,589.05","0","0.28"
"Nov 09, 2016","1,592.86","1,578.96","1,597.58","1,561.72","0","0.88"
"Nov 08, 2016","1,578.96","1,572.47","1,583.56","1,564.97","0","0.44"
"Nov 07, 2016","1,572.10","1,540.00","1,572.36","1,540.00","0","2.08"
"Nov 04, 2016","1,540.00","1,539.00","1,551.93","1,537.12","0","0.06"
"Nov 03, 2016","1,539.00","1,543.67","1,550.48","1,536.76","0","-0.30"
"Nov 02, 2016","1,543.67","1,559.37","1,559.37","1,541.82","0","-1.01"
"Nov 01, 2016","1,559.37","1,571.53","1,576.23","1,549.13","0","-0.77"
"Oct 31, 2016","1,571.53","1,565.33","1,573.55","1,565.33","0","0.40"
"Oct 28, 2016","1,565.33","1,562.26","1,576.39","1,560.56","0","0.20"
"Oct 27, 2016","1,562.26","1,575.06","1,578.67","1,561.21","0","-0.81"
"Oct 26, 2016","1,575.06","1,579.48","1,580.31","1,571.12","0","-0.28"
"Oct 25, 2016","1,579.48","1,592.61","1,592.61","1,578.37","0","-0.82"
"Oct 24, 2016","1,592.61","1,585.38","1,597.90","1,585.38","0","0.46"
"Oct 21, 2016","1,585.38","1,587.16","1,587.16","1,574.53","0","-0.11"
"Oct 20, 2016","1,587.16","1,590.55","1,592.42","1,581.03","0","-0.21"
"Oct 19, 2016","1,590.55","1,583.52","1,592.65","1,580.91","0","0.44"
"Oct 18, 2016","1,583.52","1,572.43","1,587.25","1,572.43","0","0.71"
"Oct 17, 2016","1,572.43","1,576.94","1,579.67","1,571.71","0","-0.29"
"Oct 14, 2016","1,576.94","1,578.98","1,592.44","1,576.94","0","-0.13"
"Oct 13, 2016","1,578.98","1,586.00","1,586.00","1,563.46","0","-0.44"
"Oct 12, 2016","1,586.00","1,583.19","1,590.25","1,579.36","0","0.18"
"Oct 11, 2016","1,583.19","1,608.01","1,608.01","1,577.45","0","-1.54"
"Oct 10, 2016","1,608.01","1,601.24","1,615.54","1,601.24","0","0.42"
"Oct 07, 2016","1,601.24","1,610.38","1,614.21","1,595.23","0","-0.57"
"Oct 06, 2016","1,610.38","1,612.26","1,612.26","1,601.46","0","-0.12"
"Oct 05, 2016","1,612.26","1,604.21","1,616.38","1,604.21","0","0.50"
"Oct 04, 2016","1,604.21","1,615.29","1,616.97","1,598.77","0","-0.69"
"Oct 03, 2016","1,615.29","1,622.51","1,622.51","1,611.13","0","-0.44"
"Sep 30, 2016","1,622.51","1,609.19","1,627.15","1,609.19","0","0.83"
"Sep 29, 2016","1,609.19","1,623.38","1,625.16","1,605.03","0","-0.87"
"Sep 28, 2016","1,623.38","1,612.15","1,624.09","1,604.93","0","0.70"
"Sep 27, 2016","1,612.15","1,605.29","1,612.76","1,601.12","0","0.43"
"Sep 26, 2016","1,605.29","1,615.47","1,615.47","1,604.68","0","-0.63"
"Sep 23, 2016","1,615.47","1,622.66","1,623.15","1,615.20","0","-0.44"
"Sep 22, 2016","1,622.66","1,608.89","1,624.07","1,608.89","0","0.86"
"Sep 21, 2016","1,608.89","1,587.13","1,610.08","1,587.13","0","1.37"
"Sep 20, 2016","1,587.13","1,591.89","1,599.01","1,586.12","0","-0.30"
"Sep 19, 2016","1,591.89","1,586.66","1,601.20","1,586.66","0","0.33"
"Sep 16, 2016","1,586.66","1,594.08","1,594.08","1,580.26","0","-0.47"
"Sep 15, 2016","1,594.08","1,577.41","1,596.63","1,574.94","0","1.06"
"Sep 14, 2016","1,577.41","1,579.95","1,589.04","1,572.60","0","-0.16"
"Sep 13, 2016","1,579.95","1,606.84","1,606.84","1,573.42","0","-1.67"
"Sep 12, 2016","1,606.84","1,583.32","1,609.90","1,574.17","0","1.49"
"Sep 09, 2016","1,583.32","1,629.87","1,629.87","1,583.32","0","-2.86"
"Sep 08, 2016","1,629.87","1,637.60","1,637.60","1,628.47","0","-0.47"
"Sep 07, 2016","1,637.60","1,632.82","1,637.61","1,630.32","0","0.29"
