"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 05, 2017","1,717.23","1,725.97","1,725.97","1,716.78","0","-0.50"
"Jun 02, 2017","1,725.80","1,719.31","1,732.37","1,717.39","0","0.38"
"Jun 01, 2017","1,719.31","1,691.69","1,719.33","1,691.69","0","1.63"
"May 31, 2017","1,691.69","1,691.87","1,695.15","1,675.03","0","-0.01"
"May 30, 2017","1,691.87","1,703.14","1,703.14","1,691.44","0","-0.66"
"May 26, 2017","1,703.13","1,704.91","1,704.91","1,698.40","0","-0.10"
"May 25, 2017","1,704.91","1,704.12","1,714.45","1,702.11","0","0.05"
"May 24, 2017","1,704.12","1,699.88","1,706.09","1,697.21","0","0.25"
"May 23, 2017","1,699.88","1,697.12","1,703.76","1,691.77","0","0.16"
"May 22, 2017","1,697.12","1,686.25","1,698.69","1,686.25","0","0.64"
"May 19, 2017","1,686.25","1,673.73","1,693.31","1,673.73","0","0.75"
"May 18, 2017","1,673.73","1,669.09","1,678.64","1,662.50","0","0.28"
"May 17, 2017","1,669.09","1,707.00","1,707.00","1,668.91","0","-2.22"
"May 16, 2017","1,707.00","1,708.97","1,711.25","1,698.34","0","-0.12"
"May 15, 2017","1,708.97","1,696.91","1,714.61","1,696.91","0","0.71"
"May 12, 2017","1,696.91","1,705.08","1,705.08","1,694.02","0","-0.48"
"May 11, 2017","1,705.08","1,714.54","1,714.54","1,692.37","0","-0.55"
"May 10, 2017","1,714.54","1,705.04","1,715.70","1,703.24","0","0.56"
"May 09, 2017","1,705.04","1,707.00","1,709.83","1,700.21","0","-0.11"
"May 08, 2017","1,707.00","1,715.25","1,715.25","1,700.65","0","-0.48"
"May 05, 2017","1,715.25","1,700.60","1,715.29","1,700.60","0","0.86"
"May 04, 2017","1,700.60","1,705.29","1,706.83","1,690.30","0","-0.28"
"May 03, 2017","1,705.29","1,714.42","1,714.42","1,699.76","0","-0.53"
"May 02, 2017","1,714.42","1,719.01","1,723.36","1,709.99","0","-0.27"
"May 01, 2017","1,719.01","1,713.10","1,724.13","1,708.97","0","0.34"
